N,P,K,temperature,humidity,ph,rainfall,label
93,57,93,22.36849335,74.99183817,6.41,509.5872378,tomato
101,51,95,22.35745914,66.84942042,6.4,476.0826137,tomato
98,47,95,23.35745914,69.84942042,6.14,479.0826137,tomato
96,35,88,23.10446084,67.25913752,6.27,598.9463717,tomato
118,59,87,22.05539648,66.59423811,6.14,434.3969569,tomato
97,49,88,23.17333226,71.30258408,6.44,461.3839597,tomato
111,38,94,22.08588942,72.21740481,5.9,401.9006408,tomato
87,44,92,23.04408997,70.54598843,6.07,552.8530453,tomato
117,36,88,22.31396024,70.82340437,6.44,500.8975866,tomato
82,36,89,22.15657233,72.91503451,5.73,517.9345891,tomato
113,45,85,22.46673844,71.23181533,5.59,529.6871484,tomato
99,37,85,22.30463149,66.07487301,6.18,478.1130845,tomato
103,44,87,21.77113271,69.62281296,6.34,446.6882425,tomato
87,51,91,23.27587969,73.8546083,6.45,408.6753099,tomato
97,57,90,22.06759668,70.04187329,5.87,450.1513682,tomato
86,42,87,23.32796976,68.38191569,6.0,523.1788934,tomato
85,43,89,21.12752714,67.32810894,5.78,415.9778231,tomato
91,46,88,22.19041416,72.75128508,6.42,578.5435635,tomato
87,43,87,22.87313651,73.71042732,6.04,422.6181354,tomato
87,57,86,22.15481135,74.83598932,6.35,518.6313671,tomato
104,53,92,23.0878206,67.54114255,6.24,475.1734055,tomato
119,50,93,21.92287637,69.93997721,6.14,571.0935028,tomato
105,49,90,22.39916251,68.31657943,5.97,598.3657419,tomato
93,59,93,22.0612109,67.17474866,6.32,471.690233,tomato
102,54,85,23.37119398,73.97388671,5.54,450.7999309,tomato
95,40,92,23.8257153,68.80900148,6.47,479.7676238,tomato
107,50,87,23.01461311,73.66317797,5.93,514.8066061,tomato
101,45,90,21.25220592,74.94425073,5.7,558.0752488,tomato
83,43,95,21.68293426,65.26139709,5.75,556.6107603,tomato
112,59,92,22.80373344,67.67078642,5.57,439.7881034,tomato
98,55,88,22.95853574,73.92944984,5.93,481.9440644,tomato
102,40,91,22.71735811,72.54235985,6.29,492.227689,tomato
107,55,86,23.07400917,67.46614863,6.3,428.591258,tomato
112,40,87,21.83343024,70.09948866,5.57,489.8476729,tomato
110,49,89,22.72610187,67.05504361,6.49,405.3319735,tomato
91,43,94,21.01161155,69.71599373,5.82,430.8417485,tomato
110,47,90,23.41785923,72.52857181,6.13,465.5979368,tomato
99,48,95,23.85293509,74.33520138,5.64,445.0155112,tomato
97,48,92,23.45333916,74.01297564,6.44,564.585128,tomato
117,58,85,22.57350823,71.11372493,5.59,416.5354444,tomato
90,37,86,22.14965977,66.5005741,6.15,593.4622018,tomato
100,55,85,22.14799003,71.66463318,6.27,536.252873,tomato
89,37,89,21.21591664,68.12865005,6.07,496.9939493,tomato
100,52,92,23.35479931,67.49306442,5.69,409.4042088,tomato
96,54,87,21.30793224,68.66618495,6.01,413.803689,tomato
95,46,86,22.33394217,72.47944946,6.46,429.2533256,tomato
85,55,94,23.99470121,71.95634402,5.5,536.6517681,tomato
89,45,92,22.119864,74.33415997,6.43,489.8253204,tomato
109,38,95,21.20475343,74.56091131,6.11,468.3142247,tomato
107,60,88,22.87098463,65.70965043,6.46,433.2604233,tomato
82,39,85,21.86836965,73.83289731,6.03,462.1554491,tomato
84,55,93,21.64933765,66.88599562,5.72,531.8074466,tomato
99,48,90,22.50405212,73.25844181,5.91,581.134839,tomato
91,54,85,21.78709875,73.08340109,5.63,486.5264858,tomato
115,51,89,21.74251154,74.73764274,6.06,441.3223293,tomato
94,41,93,22.56483125,70.72175668,6.06,481.3686446,tomato
90,37,93,23.40503472,74.93664388,5.65,507.1736865,tomato
98,52,87,21.73540885,65.75574131,5.63,401.7813855,tomato
91,42,94,22.4703508,71.96885656,6.15,405.5872313,tomato
87,44,90,23.61472869,73.00318928,6.27,581.8090995,tomato
113,43,87,22.77180356,74.12930165,5.93,459.41456,tomato
100,54,85,23.48260076,73.39247245,5.96,527.6031375,tomato
90,57,90,22.90132228,67.88981424,5.93,466.5768882,tomato
95,35,90,22.02233558,73.27199027,5.8,551.9652601,tomato
119,50,91,22.34613877,70.0132951,5.82,527.4261395,tomato
116,40,95,22.30648745,73.02116708,6.48,402.1015774,tomato
99,50,89,23.62659791,68.54312279,6.21,430.4293891,tomato
112,35,86,23.06077898,67.39496783,5.61,517.1557992,tomato
93,56,95,22.76557097,68.50646248,5.79,438.2118246,tomato
88,43,90,21.69237085,73.932365,5.61,469.9118839,tomato
91,48,91,22.76601185,67.31686267,6.22,576.2379784,tomato
92,37,89,23.87547755,68.00705983,6.43,465.1596228,tomato
93,47,88,23.94794772,69.56153059,6.15,428.0952562,tomato
99,46,91,22.554799,69.79015785,5.89,417.9181795,tomato
94,35,95,21.02546796,73.90074517,5.93,510.1299977,tomato
104,42,95,22.68711636,72.09768614,5.7,422.8802006,tomato
108,45,91,23.53928744,69.73296723,5.9,491.4487076,tomato
110,59,94,21.19955484,70.44265836,5.63,465.9904376,tomato
99,50,85,21.84721475,72.00152056,5.72,529.3314786,tomato
98,50,85,23.17085231,66.19109612,5.68,574.5135809,tomato
109,59,94,21.98710793,71.09576317,6.19,567.981447,tomato
115,40,87,23.2119032,70.18741334,5.86,402.1298952,tomato
89,57,90,21.75994467,73.96836071,5.7,562.3339205,tomato
107,56,87,22.7107862,67.04893315,5.7,421.1856294,tomato
90,59,95,22.77034159,66.368786,5.98,406.1215815,tomato
101,47,94,23.17229785,68.78129465,6.02,582.4037344,tomato
89,51,91,22.00977768,70.53851626,6.35,411.6383768,tomato
82,48,88,22.82819941,70.10671304,6.06,437.7167353,tomato
85,45,87,23.47074521,74.06520394,6.27,570.939801,tomato
117,39,90,23.84691635,72.44852809,6.22,590.7749975,tomato
107,40,93,23.15248834,67.77973674,5.5,540.0957259,tomato
82,60,89,23.60340568,71.36616681,6.43,524.4977199,tomato
104,58,93,23.26934576,65.96087691,6.09,584.4045098,tomato
108,42,88,22.93646662,66.87138549,5.7,493.906511,tomato
83,52,95,21.81587297,67.48584195,5.76,559.5431061,tomato
103,49,89,22.83828084,68.70191324,6.23,471.4520947,tomato
83,35,88,22.23925244,74.91997625,5.73,597.0288407,tomato
98,42,94,21.05316555,74.18073865,6.33,432.7399838,tomato
88,48,86,22.91523369,72.81256766,6.13,431.1235587,tomato
93,46,87,21.78480196,70.42446381,5.56,507.9902686,tomato
73,59,42,27.99196131,53.7308135,5.58,495.8551436,Jowar(Sorghum)
62,44,36,27.70359446,52.06590277,5.82,494.155385,Jowar(Sorghum)
82,41,40,27.76854806,52.49910105,5.86,480.8494781,Jowar(Sorghum)
83,43,38,29.20753326,52.70649927,5.79,819.5512057,Jowar(Sorghum)
97,36,36,28.41121441,59.59680501,5.72,765.3449138,Jowar(Sorghum)
84,51,35,28.8892049,54.60924307,5.04,453.4993867,Jowar(Sorghum)
80,57,37,29.10175057,51.10042768,5.55,746.2701498,Jowar(Sorghum)
70,48,45,28.68418066,53.48973054,5.79,693.3682226,Jowar(Sorghum)
75,40,36,31.92656831,50.3367096,5.02,778.843341,Jowar(Sorghum)
88,50,44,29.62466339,54.90662678,5.54,947.1376996,Jowar(Sorghum)
68,53,36,27.47077857,59.78776971,5.8,704.5748996,Jowar(Sorghum)
85,36,41,31.06081573,53.88111134,5.17,712.6404541,Jowar(Sorghum)
65,52,39,28.13219084,53.26460749,6.0,596.2322152,Jowar(Sorghum)
74,41,37,31.05302684,54.68741659,5.16,952.0579269,Jowar(Sorghum)
85,39,36,30.00120054,59.6987519,5.33,785.7483985,Jowar(Sorghum)
97,50,41,27.68990175,52.44611429,5.6,914.304514,Jowar(Sorghum)
85,50,44,30.95363159,56.07626806,5.32,648.1242631,Jowar(Sorghum)
77,39,42,28.91934366,51.38639663,5.8,929.9018849,Jowar(Sorghum)
99,48,44,31.50864853,58.93111329,5.24,541.2138778,Jowar(Sorghum)
71,37,43,27.69075795,51.51738145,5.7,497.0653409,Jowar(Sorghum)
63,60,38,28.24131064,54.95769787,5.13,700.5554325,Jowar(Sorghum)
65,39,39,29.72159073,54.22095241,5.98,603.898537,Jowar(Sorghum)
80,39,36,29.77568959,57.29267262,5.24,985.965391,Jowar(Sorghum)
99,58,43,31.88525204,52.57889119,5.31,646.3337647,Jowar(Sorghum)
92,46,38,31.75165827,56.88746021,5.94,757.7024945,Jowar(Sorghum)
72,57,37,27.5405833,51.09015855,5.73,725.8617211,Jowar(Sorghum)
89,51,45,28.61834591,54.56675604,5.5,798.6906747,Jowar(Sorghum)
91,45,44,27.99240822,57.65221828,5.31,901.2422259,Jowar(Sorghum)
80,36,43,28.19591438,56.66504285,5.9,668.5895528,Jowar(Sorghum)
72,53,42,29.7325613,53.93747393,5.54,463.5732939,Jowar(Sorghum)
67,43,38,30.65965246,57.56637377,5.38,852.6212055,Jowar(Sorghum)
69,56,36,30.51599488,55.29901047,5.78,453.1886575,Jowar(Sorghum)
65,59,40,31.84872736,52.30605306,5.26,629.2113062,Jowar(Sorghum)
67,57,37,29.37441206,58.12951546,5.69,986.7096065,Jowar(Sorghum)
94,60,36,31.38433933,58.14779475,5.77,772.25813,Jowar(Sorghum)
76,42,37,27.92985361,50.52673679,5.79,538.1109022,Jowar(Sorghum)
96,57,42,30.06978911,55.99860107,5.27,891.4590885,Jowar(Sorghum)
95,59,39,30.0564748,59.15415024,5.92,571.2067287,Jowar(Sorghum)
70,47,39,30.11742099,52.7913378,5.53,665.3039993,Jowar(Sorghum)
65,53,45,30.95780014,58.1573339,5.87,909.7868368,Jowar(Sorghum)
100,49,42,29.21646709,55.52988231,5.48,572.2442886,Jowar(Sorghum)
87,38,41,29.41866497,59.9144328,5.99,749.2534707,Jowar(Sorghum)
63,44,45,28.90648546,51.50370363,5.45,852.3937129,Jowar(Sorghum)
60,39,36,27.38425236,53.01501352,5.67,474.9573601,Jowar(Sorghum)
92,37,36,31.67622142,50.64875505,5.22,662.8458831,Jowar(Sorghum)
81,36,35,31.08724815,54.27293993,5.49,974.4282424,Jowar(Sorghum)
75,35,42,30.77431091,50.18739615,5.37,537.8002558,Jowar(Sorghum)
63,38,36,29.36173382,53.58773411,5.33,864.1430095,Jowar(Sorghum)
97,55,44,28.92160493,53.65991839,5.83,785.3933435,Jowar(Sorghum)
79,42,44,27.42076611,59.07326841,5.13,577.6099894,Jowar(Sorghum)
99,49,43,27.37703364,50.22859432,5.19,692.5422839,Jowar(Sorghum)
81,55,36,30.90479167,51.60851318,5.94,895.3836654,Jowar(Sorghum)
81,53,35,30.0451032,56.25621702,5.87,512.2124223,Jowar(Sorghum)
81,48,44,30.2301628,52.98345651,5.36,625.5586672,Jowar(Sorghum)
79,57,37,29.46414952,58.29229512,5.42,577.9581832,Jowar(Sorghum)
93,37,39,27.8680162,56.48995415,5.88,961.4592993,Jowar(Sorghum)
